timestamp,temperature,humidity,precipitation,uv_index,pressure,current_weather
2026-08-12T11:05:19.265842,31.1,68.8,1.0,0.0,1009.48,Model not loaded
2026-08-12T11:05:21.173610,31.1,68.8,1.0,0.0,1009.46,Model not loaded
2026-08-12T11:05:23.416904,31.1,68.8,1.0,0.0,1009.45,Model not loaded
2026-08-12T11:05:25.397309,31.1,68.8,1.0,0.0,1009.44,Model not loaded
2026-08-12T11:05:27.810674,31.1,68.82,1.0,0.0,1009.44,Model not loaded
2026-08-12T11:05:29.420218,31.1,68.84,1.0,0.0,1009.42,Model not loaded
2026-08-12T11:05:31.477983,31.1,68.86,1.0,0.0,1009.41,Model not loaded
2026-08-12T11:05:33.539661,31.12,68.88,1.0,0.0,1009.39,Model not loaded
2026-08-12T11:05:35.600447,31.14,68.92,1.0,0.0,1009.39,Model not loaded
2026-08-12T11:05:37.660742,31.16,68.94,1.0,0.0,1009.39,Model not loaded
2026-08-12T11:05:40.237914,31.18,68.94,1.0,0.0,1009.4,Model not loaded
2026-08-12T11:05:42.003765,31.2,68.94,1.0,0.0,1009.41,Model not loaded
2026-08-12T11:05:43.844056,31.2,68.92,1.0,0.0,1009.44,Model not loaded
2026-08-12T11:05:45.905523,31.2,68.88,1.0,0.0,1009.45,Model not loaded
2026-08-12T11:05:47.965497,31.2,68.84,1.0,0.0,1009.46,Model not loaded
2026-08-12T11:05:50.026299,31.2,68.8,1.0,0.0,1009.46,Model not loaded
2026-08-12T11:05:52.087846,31.2,68.76,1.0,0.0,1009.46,Model not loaded
2026-08-12T11:05:54.624964,31.2,68.72,1.0,0.0,1009.44,Model not loaded
2026-08-12T11:05:56.254059,31.2,68.66,1.0,0.0,1009.44,Model not loaded
2026-08-12T11:05:58.395512,31.2,68.6,1.0,0.0,1009.42,Model not loaded
2026-08-12T11:06:00.361129,31.2,68.56,1.0,0.0,1009.42,Model not loaded
2026-08-12T11:06:02.392088,31.2,68.5,1.0,0.0,1009.42,Model not loaded
2026-08-12T11:06:04.453435,31.2,68.46,1.0,0.0,1009.42,Model not loaded
2026-08-12T11:06:06.514345,31.2,68.42,1.0,0.0,1009.41,Model not loaded
2026-08-12T11:06:08.849604,31.2,68.38,1.0,0.0,1009.42,Model not loaded
2026-08-12T11:06:11.856906,31.2,68.34,8.4,0.0,1009.42,Model not loaded
2026-08-12T11:06:12.697407,31.2,68.32,14.8,0.0,1009.42,Model not loaded
2026-08-12T11:06:14.757949,31.2,68.3,21.8,0.0,1009.44,Model not loaded
2026-08-12T11:06:16.817636,31.2,68.3,29.0,0.0,1009.45,Model not loaded
2026-08-12T11:06:18.878816,31.2,68.3,36.4,0.0,1009.43,Model not loaded
2026-08-12T11:06:20.940009,31.2,68.3,36.4,0.0,1009.42,Model not loaded
2026-08-12T11:06:23.944722,31.2,68.3,37.2,0.0,1009.42,Model not loaded
2026-08-12T11:06:25.410911,31.2,68.3,37.2,0.0,1009.4,Model not loaded
2026-08-12T11:06:27.270114,31.2,68.3,36.8,0.0,1009.39,Model not loaded
2026-08-12T11:06:29.894274,31.2,68.3,35.8,0.0,1009.4,Model not loaded
2026-08-12T11:06:31.244842,31.2,68.3,34.6,0.0,1009.38,Model not loaded
2026-08-12T11:06:33.304640,31.2,68.3,33.4,0.0,1009.38,Model not loaded
2026-08-12T11:06:35.365582,31.2,68.3,32.0,0.0,1009.38,Model not loaded
2026-08-12T11:06:37.426961,31.2,68.3,30.6,0.0,1009.39,Model not loaded
2026-08-12T11:06:40.027250,31.2,68.3,29.4,0.0,1009.39,Model not loaded
2026-08-12T11:06:42.731820,31.2,68.3,28.2,0.0,1009.41,Model not loaded
2026-08-12T11:06:44.160545,31.2,68.32,27.0,0.0,1009.4,Model not loaded
2026-08-12T11:06:45.671955,31.2,68.34,26.0,0.0,1009.41,Model not loaded
2026-08-12T11:06:47.732935,31.2,68.36,25.0,0.0,1009.42,Model not loaded
2026-08-12T11:06:49.793071,31.2,68.38,24.2,0.0,1009.44,Model not loaded
2026-08-12T11:06:51.854066,31.2,68.4,23.4,0.0,1009.44,Model not loaded
2026-08-12T11:06:53.917650,31.2,68.4,22.8,0.0,1009.46,Model not loaded
2026-08-12T11:06:56.543527,31.2,68.4,22.4,0.0,1009.45,Model not loaded
2026-08-12T11:06:58.410333,31.2,68.4,22.0,0.0,1009.44,Model not loaded
2026-08-12T11:07:00.176019,31.2,68.4,21.6,0.0,1009.44,Model not loaded
2026-08-12T11:07:02.158619,31.2,68.4,21.2,0.0,1009.44,Model not loaded
2026-08-12T11:07:04.219128,31.2,68.4,20.8,0.0,1009.43,Model not loaded
2026-08-12T11:07:06.279041,31.2,68.4,20.2,0.0,1009.43,Model not loaded
2026-08-12T11:07:08.339886,31.2,68.4,19.8,0.0,1009.43,Model not loaded
2026-08-12T11:07:11.018576,31.2,68.38,19.4,0.0,1009.43,Model not loaded
2026-08-12T11:07:12.981206,31.2,68.36,19.2,0.0,1009.43,Model not loaded
2026-08-12T11:07:14.928746,31.2,68.34,18.8,0.0,1009.43,Model not loaded
2026-08-12T11:07:16.583630,31.2,68.32,18.6,0.0,1009.43,Model not loaded
2026-08-12T11:07:18.657684,31.2,68.28,18.4,0.0,1009.43,Model not loaded
2026-08-12T11:07:20.706608,31.2,68.26,18.2,0.0,1009.43,Model not loaded
2026-08-12T11:07:22.766598,31.2,68.24,17.8,0.0,1009.43,Model not loaded
2026-08-12T11:07:24.835166,31.2,68.22,17.6,0.0,1009.43,Model not loaded
2026-08-12T11:07:26.887957,31.2,68.2,17.2,0.0,1009.43,Model not loaded
2026-08-12T11:07:28.949100,31.22,68.18,16.8,0.0,1009.43,Model not loaded
2026-08-12T11:07:31.010221,31.24,68.16,16.4,0.0,1009.43,Model not loaded
2026-08-12T11:07:33.071322,31.26,68.14,16.2,0.0,1009.42,Model not loaded
2026-08-12T11:07:35.132071,31.28,68.12,15.8,0.0,1009.43,Model not loaded
2026-08-12T11:07:37.193227,31.3,68.1,15.6,0.0,1009.44,Model not loaded
2026-08-12T11:07:39.253661,31.3,68.1,15.4,0.0,1009.44,Model not loaded
