timestamp,Temperature,Humidity,Precipitation (%),UV Index,Pressure,Condition,Target_Condition,hour_of_day,day_of_week,month,day_of_month,temp_t1,humidity_t1,pressure_t1,temp_change,pressure_change
2026-03-29 19:46:50.852043,30.6,76.7,0.0,0.0,1005.06,Cloudy,Sunny,19,6,3,29,30.6,76.7,1005.07,0.0,-0.010000000000104592
2026-03-29 19:46:52.889740,30.6,76.67,0.0,0.0,1005.03,Cloudy,Sunny,19,6,3,29,30.6,76.7,1005.06,0.0,-0.029999999999972715
2026-03-29 19:46:58.348661,30.6,76.65,0.0,0.0,1005.02,Cloudy,Sunny,19,6,3,29,30.6,76.67,1005.03,0.0,-0.009999999999990905
2026-03-29 19:46:59.145774,30.58,76.64,0.0,0.0,1005.01,Cloudy,Sunny,19,6,3,29,30.6,76.65,1005.02,-0.020000000000003126,-0.009999999999990905
2026-03-29 19:46:59.882112,30.56,76.64,0.0,0.0,1004.98,Cloudy,Sunny,19,6,3,29,30.58,76.64,1005.01,-0.019999999999999574,-0.029999999999972715
2026-03-29 19:47:02.830740,30.54,76.64,0.0,0.0,1004.96,Cloudy,Sunny,19,6,3,29,30.56,76.64,1004.98,-0.019999999999999574,-0.01999999999998181
2026-03-29 19:47:03.453604,30.52,76.68,0.0,0.0,1004.94,Cloudy,Sunny,19,6,3,29,30.54,76.64,1004.96,-0.019999999999999574,-0.01999999999998181
2026-03-29 19:47:05.474220,30.5,76.72,0.0,0.0,1004.94,Cloudy,Sunny,19,6,3,29,30.52,76.68,1004.94,-0.019999999999999574,0.0
2026-03-29 19:47:07.401301,30.5,76.8,0.0,0.0,1004.92,Cloudy,Sunny,19,6,3,29,30.5,76.72,1004.94,0.0,-0.020000000000095497
2026-03-29 19:47:09.429164,30.5,76.88,0.0,0.0,1004.93,Cloudy,Sunny,19,6,3,29,30.5,76.8,1004.92,0.0,0.009999999999990905
2026-03-29 19:47:12.983559,30.5,76.96,0.0,0.0,1004.92,Cloudy,Sunny,19,6,3,29,30.5,76.88,1004.93,0.0,-0.009999999999990905
2026-03-29 19:47:13.598769,30.5,77.04,0.0,0.0,1004.92,Cloudy,Sunny,19,6,3,29,30.5,76.96,1004.92,0.0,0.0
2026-03-29 19:47:18.376085,30.48,77.14,0.0,0.0,1004.91,Cloudy,Sunny,19,6,3,29,30.5,77.04,1004.92,-0.019999999999999574,-0.009999999999990905
2026-03-29 19:47:18.968592,30.46,77.2,0.0,0.0,1004.91,Cloudy,Sunny,19,6,3,29,30.48,77.14,1004.91,-0.019999999999999574,0.0
2026-03-29 19:47:19.829306,30.44,77.26,0.0,0.0,1004.9,Cloudy,Sunny,19,6,3,29,30.46,77.2,1004.91,-0.019999999999999574,-0.009999999999990905
2026-03-29 19:47:22.015831,30.42,77.32,0.0,0.0,1004.9,Cloudy,Sunny,19,6,3,29,30.44,77.26,1004.9,-0.019999999999999574,0.0
2026-03-29 19:47:23.735666,30.4,77.38,0.0,0.0,1004.88,Cloudy,Sunny,19,6,3,29,30.42,77.32,1004.9,-0.020000000000003126,-0.01999999999998181
2026-03-29 19:47:25.809258,30.4,77.42,0.0,0.0,1004.88,Cloudy,Sunny,19,6,3,29,30.4,77.38,1004.88,0.0,0.0
2026-03-29 19:47:27.849346,30.4,77.48,0.0,0.0,1004.87,Cloudy,Sunny,19,6,3,29,30.4,77.42,1004.88,0.0,-0.009999999999990905
2026-03-29 19:47:29.941923,30.4,77.52,0.0,0.0,1004.87,Cloudy,Sunny,19,6,3,29,30.4,77.48,1004.87,0.0,0.0
2026-03-29 19:47:33.620266,30.4,77.56,0.0,0.0,1004.88,Cloudy,Sunny,19,6,3,29,30.4,77.52,1004.87,0.0,0.009999999999990905
2026-03-29 19:47:34.009503,30.4,77.58,0.0,0.0,1004.89,Cloudy,Sunny,19,6,3,29,30.4,77.56,1004.88,0.0,0.009999999999990905
2026-03-29 19:47:36.010733,30.4,77.62,0.0,0.0,1004.9,Cloudy,Sunny,19,6,3,29,30.4,77.58,1004.89,0.0,0.009999999999990905
2026-03-29 19:47:38.067702,30.4,77.64,0.0,0.0,1004.9,Cloudy,Sunny,19,6,3,29,30.4,77.62,1004.9,0.0,0.0
2026-03-29 19:47:40.142866,30.4,77.66,0.0,0.0,1004.91,Cloudy,Sunny,19,6,3,29,30.4,77.64,1004.9,0.0,0.009999999999990905
2026-03-29 19:47:42.314488,30.4,77.68,0.0,0.0,1004.91,Cloudy,Sunny,19,6,3,29,30.4,77.66,1004.91,0.0,0.0
2026-03-29 19:47:44.311271,30.4,77.72,0.0,0.0,1004.93,Cloudy,Sunny,19,6,3,29,30.4,77.68,1004.91,0.0,0.01999999999998181
2026-03-29 19:47:48.696566,30.4,77.72,0.0,0.0,1004.94,Cloudy,Sunny,19,6,3,29,30.4,77.72,1004.93,0.0,0.010000000000104592
2026-03-29 19:47:49.153370,30.4,77.72,0.0,0.0,1004.96,Cloudy,Sunny,19,6,3,29,30.4,77.72,1004.94,0.0,0.01999999999998181
