timestamp,Temperature,Humidity,Precipitation (%),UV Index,Pressure,Condition,Target_Condition,hour_of_day,day_of_week,month,day_of_month,temp_t1,humidity_t1,pressure_t1,temp_change,pressure_change
2026-03-04 19:38:44.058663,30.4,43.5,0.0,8.3,1012.25,Model not loaded,Model not loaded,19,2,3,4,30.5,43.0,1013.5,-0.10000000000000142,-1.25
2026-03-04 19:38:46.060527,30.4,43.83,0.0,8.07,1012.0,Model not loaded,Model not loaded,19,2,3,4,30.4,43.5,1012.25,0.0,-0.25
2026-03-04 19:38:48.064881,30.42,44.12,0.0,8.05,1012.25,Model not loaded,Model not loaded,19,2,3,4,30.4,43.83,1012.0,0.020000000000003126,0.25
2026-03-04 19:38:50.065411,30.26,44.3,0.0,7.96,1012.2,Model not loaded,Model not loaded,19,2,3,4,30.42,44.12,1012.25,-0.16000000000000014,-0.049999999999954525
2026-03-04 19:38:52.067119,30.18,44.9,0.0,8.0,1011.6,Model not loaded,Model not loaded,19,2,3,4,30.26,44.3,1012.2,-0.08000000000000185,-0.6000000000000227
2026-03-04 19:38:54.069657,30.1,45.5,0.0,8.0,1011.7,Model not loaded,Model not loaded,19,2,3,4,30.18,44.9,1011.6,-0.0799999999999983,0.10000000000002274
2026-03-04 19:38:56.071956,30.02,45.1,0.0,8.08,1011.8,Model not loaded,Model not loaded,19,2,3,4,30.1,45.5,1011.7,-0.08000000000000185,0.09999999999990905
2026-03-04 19:38:58.074826,29.82,44.6,0.0,8.0,1011.8,Model not loaded,Model not loaded,19,2,3,4,30.02,45.1,1011.8,-0.1999999999999993,0.0
2026-03-04 19:39:00.076117,29.96,44.9,0.0,8.16,1011.9,Model not loaded,Model not loaded,19,2,3,4,29.82,44.6,1011.8,0.14000000000000057,0.10000000000002274
2026-03-04 19:39:02.078282,29.98,44.2,0.0,8.12,1011.9,Model not loaded,Model not loaded,19,2,3,4,29.96,44.9,1011.9,0.019999999999999574,0.0
2026-03-04 19:39:04.080602,30.1,44.0,0.0,8.08,1012.1,Model not loaded,Model not loaded,19,2,3,4,29.98,44.2,1011.9,0.120000000000001,0.20000000000004547
2026-03-04 19:39:06.082686,30.14,44.8,0.0,8.04,1012.3,Model not loaded,Model not loaded,19,2,3,4,30.1,44.0,1012.1,0.03999999999999915,0.1999999999999318
2026-03-04 19:39:08.085059,30.3,44.8,0.0,8.16,1012.1,Model not loaded,Model not loaded,19,2,3,4,30.14,44.8,1012.3,0.16000000000000014,-0.1999999999999318
2026-03-04 19:39:10.087193,30.26,44.2,0.0,8.0,1011.7,Model not loaded,Unknown,19,2,3,4,30.3,44.8,1012.1,-0.03999999999999915,-0.39999999999997726
